model,feature,abs_weight,weight
ridge_stage_0.7,early_0.7_common_std_cells,0.22336323958749824,-0.22336323958749824
ridge_stage_0.7,early_0.7_aesthetic_pc,0.14456289389791574,0.14456289389791574
ridge_stage_0.7,early_0.7_aesthetic_cu,0.12347546720394208,0.12347546720394208
ridge_stage_0.7,early_0.7_common_robust_lcb,0.09732125358360408,0.09732125358360408
ridge_stage_0.7,slope_0.7_minus_0.9_common_robust_lcb,0.06569817588501385,0.06569817588501385
ridge_stage_0.7,early_0.8_common_robust_lcb,0.056996503820629665,-0.056996503820629665
ridge_stage_0.7,early_0.9_common_robust_lcb,0.04990843908297832,0.04990843908297832
ridge_stage_0.7,early_0.8_aesthetic_ce,0.04575034850639166,0.04575034850639166
ridge_stage_0.7,early_0.7_probe_silence_fraction,0.04546632661229793,-0.04546632661229793
ridge_stage_0.7,early_0.8_common_mean_cells,0.030538650028216627,-0.030538650028216627
ridge_stage_0.7,early_0.8_aesthetic_pc,0.029569721416110934,0.029569721416110934
ridge_stage_0.7,early_0.9_common_mean_cells,0.027711458591839298,0.027711458591839298
ridge_stage_0.7,early_0.7_common_mean_cells,0.02765223364985628,-0.02765223364985628
ridge_stage_0.7,early_0.9_aesthetic_cu,0.026270883397372304,0.026270883397372304
ridge_stage_0.7,early_0.7_common_robust_lcb_rank_percentile,0.025674238078949262,-0.025674238078949262
ridge_stage_0.7,early_0.7_aesthetic_pq_rank_percentile,0.022924622957198364,0.022924622957198364
ridge_stage_0.7,cat__genre__metal,0.02282644579280853,-0.02282644579280853
ridge_stage_0.7,early_0.8_lyric_intelligibility,0.022118476620260716,0.022118476620260716
ridge_stage_0.7,early_0.9_common_std_cells,0.017651303435057903,-0.017651303435057903
ridge_stage_0.7,early_0.8_common_std_cells,0.015562939550069606,0.015562939550069606
ridge_stage_0.7,cat__genre__jazz,0.015498653600156696,0.015498653600156696
ridge_stage_0.7,early_0.8_aesthetic_pq,0.014133154553620065,0.014133154553620065
ridge_stage_0.7,early_0.9_probe_silence_fraction,0.013888766385851709,0.013888766385851709
ridge_stage_0.7,early_0.8_probe_silence_fraction,0.013495661943928813,0.013495661943928813
ridge_stage_0.7,early_0.9_aesthetic_pc,0.011268278867715599,-0.011268278867715599
ridge_stage_0.7,early_0.9_lyric_intelligibility,0.009591499949141881,-0.009591499949141881
ridge_stage_0.7,early_0.8_aesthetic_cu,0.008695100987537164,0.008695100987537164
ridge_stage_0.7,early_0.9_aesthetic_pq_rank_percentile,0.007829266722209067,-0.007829266722209067
ridge_stage_0.7,slope_0.7_minus_0.9_lyric_intelligibility,0.007624450124762104,0.007624450124762104
ridge_stage_0.7,cat__lyric_density__med,0.007414000478170446,-0.007414000478170446
ridge_stage_0.7,cat__genre__pop,0.007209243920742873,0.007209243920742873
ridge_stage_0.7,cat__length_bin__short_30_60s,0.007104020723547099,0.007104020723547099
ridge_stage_0.7,cat__length_bin__med_60_90s,0.007104020722799695,-0.007104020722799695
ridge_stage_0.7,early_0.7_section_coherence,0.0062588342009470875,-0.0062588342009470875
ridge_stage_0.7,early_0.7_lyric_intelligibility,0.006246133695883061,-0.006246133695883061
ridge_stage_0.7,early_0.7_common_probe_penalty,0.006143154521197257,0.006143154521197257
ridge_stage_0.7,early_0.7_probe_autocorr_repetition,0.0061431545211159755,0.0061431545211159755
ridge_stage_0.7,early_0.8_probe_autocorr_repetition,0.005941058216705707,-0.005941058216705707
ridge_stage_0.7,early_0.8_common_probe_penalty,0.005941058216479857,-0.005941058216479857
ridge_stage_0.7,early_0.8_semantic_fit,0.005685538033584303,0.005685538033584303
ridge_stage_0.7,slope_0.7_minus_0.9_section_coherence,0.005391412474832901,-0.005391412474832901
ridge_stage_0.7,early_0.9_aesthetic_ce,0.005273931403629835,0.005273931403629835
ridge_stage_0.7,early_0.9_aesthetic_pq,0.00512380711545621,-0.00512380711545621
ridge_stage_0.7,cat__genre__electronic,0.0047607426433684576,-0.0047607426433684576
ridge_stage_0.7,early_0.9_probe_hf_artifact_score,0.004704509152496055,-0.004704509152496055
ridge_stage_0.7,cat__lyric_density__n_a_instrumental,0.004405093784412353,0.004405093784412353
ridge_stage_0.7,cat__vocal_stratum__vocal,0.004405093784410335,-0.004405093784410335
ridge_stage_0.7,cat__vocal_stratum__instrumental,0.004405093784407003,0.004405093784407003
ridge_stage_0.7,cat__genre__folk,0.0040805033583828755,0.0040805033583828755
ridge_stage_0.7,early_0.9_semantic_fit,0.003573849463873547,-0.003573849463873547
ridge_stage_0.7,early_0.7_semantic_fit,0.0032647506040648236,-0.0032647506040648236
ridge_stage_0.7,cat__lyric_density__low,0.0029462458691960854,0.0029462458691960854
ridge_stage_0.7,cat__genre__rock,0.0027965018927614206,0.0027965018927614206
ridge_stage_0.7,early_0.8_section_coherence,0.0024773289040786652,-0.0024773289040786652
ridge_stage_0.7,early_0.9_common_probe_penalty,0.0024499620926561384,0.0024499620926561384
ridge_stage_0.7,early_0.9_probe_autocorr_repetition,0.0024499620926559627,0.0024499620926559627
ridge_stage_0.7,early_0.8_probe_hf_artifact_score,0.002239632830919929,0.002239632830919929
ridge_stage_0.7,slope_0.7_minus_0.9_aesthetic_pq,0.0022175057385760487,0.0022175057385760487
ridge_stage_0.7,early_0.9_common_robust_lcb_rank_percentile,0.0019430680844082229,-0.0019430680844082229
ridge_stage_0.7,cat__genre__classical,0.0019161639747212918,0.0019161639747212918
ridge_stage_0.7,early_0.7_aesthetic_pq,0.001511765964834437,-0.001511765964834437
ridge_stage_0.7,cat__genre__hip_hop,0.001444508453664945,-0.001444508453664945
ridge_stage_0.7,early_0.8_common_robust_lcb_rank_percentile,0.001310722187326497,0.001310722187326497
ridge_stage_0.7,early_0.7_probe_hf_artifact_score,0.0013051259821932136,-0.0013051259821932136
ridge_stage_0.7,early_0.9_section_coherence,0.0010329278662789525,-0.0010329278662789525
ridge_stage_0.7,early_0.8_aesthetic_pq_rank_percentile,0.0008505555898996686,-0.0008505555898996686
ridge_stage_0.7,cat__lyric_density__high,0.000671397624702755,-0.000671397624702755
ridge_stage_0.7,slope_0.7_minus_0.9_semantic_fit,0.00027897719189312576,0.00027897719189312576
ridge_stage_0.7,early_0.7_aesthetic_ce,6.600644708803705e-05,6.600644708803705e-05
