model,clip_id,clip_path,true_label_source,duration_s,sample_rate,mean_volume_db,near_silent,audio_format_sent,flac_or_wav_used,prompt_template,raw_model_response_path,parsed_label,votes,parser_confidence,expected_label,correct,semantic_correct_parser_failed,semantic_parser_note,failure_category,response_excerpt
qwen3.5-omni-plus,smoke_01,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0019_a00fb96bef52.flac,repaired smoke manifest expected=no; Demucs=0.00741; PANNs=0.08209; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_ambient/none_s56_2026800056.flac,29.907313,48000,-16.9,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,no,False,False,parser returned a concrete yes/no label,unknown,"yes The clip features a deep, processed male voice speaking the words ""what will you do"" near the end. | yes The clip contains a deep, processed male voice speaking the words ""What will you do?"" near the end. | yes The audio clip contains a deep, distorted male voice speaking phrases like ""what will"" and ""deliver."""
qwen3.5-omni-plus,smoke_02,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0087_76fcff5bf430.flac,repaired smoke manifest expected=yes; Demucs=0.32444; PANNs=0.32789; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0170/none_s3_2028400003.flac,60.650521,48000,-22.2,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,"yes The audio clip features a male voice singing in a scat style, accompanied by a jazz band. | yes The audio features a male vocalist singing throughout the clip. | yes The audio clip features a male voice singing lyrics in a foreign language throughout the majority of the track."
qwen3.5-omni-plus,smoke_03,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0132_9eb1d0e52752.flac,repaired smoke manifest expected=yes; Demucs=0.57643; PANNs=0.35851; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0088/I_strong_s1_2027505001.flac,44.489438,48000,-18.7,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,yes The audio features a prominent male voice delivering spoken word or rap lyrics over a musical background. | yes The audio features a prominent male voice delivering spoken word or rap lyrics over a musical background. | yes The audio features a prominent male voice delivering spoken word or rap lyrics over a musical background.
qwen3.5-omni-plus,smoke_04,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0160_e6ba8673890c.flac,repaired smoke manifest expected=yes; Demucs=0.38948; PANNs=0.65932; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0008/V3_s3_2026302003.flac,64.365729,48000,-13.1,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,"yes The audio clip features a deep, processed male voice speaking phrases such as ""I change"" and ""I change all the locks."" | yes The audio clip features a deep male voice speaking phrases such as ""I change all the locks"" throughout the track. | yes The audio clip features a deep male voice speaking phrases such as ""I change all the locks"" throughout the track."
qwen3.5-omni-plus,smoke_05,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0174_6844f5f64d42.flac,repaired smoke manifest expected=yes; Demucs=0.6996; PANNs=0.27538; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_folk/none_s2_2026700002.flac,29.907313,48000,-20.9,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,yes The audio features a male voice singing a melody in a foreign language. | yes The audio features a male voice singing a melody in a foreign language. | yes The audio features a prominent male vocal track singing in a foreign language.
qwen3.5-omni-plus,smoke_06,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0209_99f9f4b0fa3f.flac,repaired smoke manifest expected=no; Demucs=0.00021; PANNs=0.12239; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0153/I_strong_s106_2028205106.flac,30.185958,48000,-16.3,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,no,False,False,parser returned a concrete yes/no label,unknown,"yes The audio features a deep, processed male voice delivering spoken word lines with heavy reverb and echo effects. | yes The audio features a deep, processed male voice delivering spoken word lines with heavy reverb and echo effects. | yes The audio features a deep, processed male voice delivering spoken word lines with heavy reverb and echo effects."
qwen3.5-omni-plus,smoke_07,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0323_70e420c71e92.flac,repaired smoke manifest expected=no; Demucs=0.00097; PANNs=0.41048; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_electronic/none_s32_2026600032.flac,29.907313,48000,-15.8,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,no,False,False,parser returned a concrete yes/no label,unknown,"yes The audio clip contains a distorted, robotic-sounding spoken voice that says phrases like ""all artists"" and ""my god."" | yes The audio clip contains a distorted, robotic-sounding voice speaking phrases such as ""this one is for the children"" and ""my god."" | yes The audio clip contains a distorted, robotic-sounding voice speaking phrases such as ""this one is for the children"" and ""my god."""
qwen3.5-omni-plus,smoke_08,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0332_2d40c0a2a223.flac,repaired smoke manifest expected=no; Demucs=0.00662; PANNs=0.21979; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0080/none_s470_2027400470.flac,41.795938,48000,-10.9,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,no,False,False,parser returned a concrete yes/no label,unknown,"yes The audio clip features a male voice performing a rap. | yes The audio clip features a male voice performing a rap. | yes The audio clip features a prominent male vocal track performing in a rhythmic, rap-like style throughout the song."
qwen3.5-omni-plus,smoke_09,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0379_7b1bf6aece21.flac,repaired smoke manifest expected=yes; Demucs=0.372; PANNs=0.41049; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0045/V3_s0_2027102000.flac,62.879646,48000,-12.7,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,yes The audio clip features a male voice singing the lyrics throughout the track. | yes The audio clip features a male voice singing the lyrics throughout the track. | yes The audio clip features a male voice singing lyrics throughout the track.
qwen3.5-omni-plus,smoke_10,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0406_514e4242add9.flac,repaired smoke manifest expected=no; Demucs=1e-05; PANNs=0.08217; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0031/none_s27_2028300027.flac,30.093063,48000,-23.1,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_20260707.jsonl,no,"no,no,no",3/3,no,True,False,parser returned a concrete yes/no label,n/a,"no The audio clip consists entirely of instrumental music played by a jazz ensemble, with no human vocalizations present. | no The audio clip consists entirely of instrumental music played by a jazz ensemble, with no human vocalizations present. | no The audio clip consists entirely of instrumental music played by a jazz ensemble, with no human vocalizations present."
qwen3.5-omni-flash,smoke_01,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0019_a00fb96bef52.flac,repaired smoke manifest expected=no; Demucs=0.00741; PANNs=0.08209; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_ambient/none_s56_2026800056.flac,29.907313,48000,-16.9,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,no,False,False,parser returned a concrete yes/no label,unknown,"yes The audio clip contains a deep, distorted male voice speaking the phrase ""What is this?"" | yes The audio clip contains a deep, distorted male voice speaking the phrase ""What is this?"" | yes The audio clip contains a deep, distorted male voice speaking the phrase ""What is this?"""
qwen3.5-omni-flash,smoke_02,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0087_76fcff5bf430.flac,repaired smoke manifest expected=yes; Demucs=0.32444; PANNs=0.32789; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0170/none_s3_2028400003.flac,60.650521,48000,-22.2,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,yes The audio clip features a male vocalist singing in Portuguese over a jazz band accompaniment. | yes The audio clip features a male vocalist singing in Portuguese over a swing jazz instrumental. | yes The audio clip features a male vocalist singing in Portuguese over a jazz instrumental arrangement.
qwen3.5-omni-flash,smoke_03,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0132_9eb1d0e52752.flac,repaired smoke manifest expected=yes; Demucs=0.57643; PANNs=0.35851; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0088/I_strong_s1_2027505001.flac,44.489438,48000,-18.7,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,yes The audio features a male voice performing a rapid-fire spoken word or rap performance. | yes The audio features a male vocalist rapping in Irish over a musical beat. | yes The audio features a male voice rapping in Irish over a musical beat.
qwen3.5-omni-flash,smoke_04,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0160_e6ba8673890c.flac,repaired smoke manifest expected=yes; Demucs=0.38948; PANNs=0.65932; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0008/V3_s3_2026302003.flac,64.365729,48000,-13.1,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,"yes The audio features a deep male voice delivering spoken word phrases with rhythmic repetition. | yes The audio features a deep, processed male voice delivering spoken word phrases rather than traditional singing. | yes The audio features a deep male voice delivering spoken word phrases with heavy reverb and delay effects."
qwen3.5-omni-flash,smoke_05,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0174_6844f5f64d42.flac,repaired smoke manifest expected=yes; Demucs=0.6996; PANNs=0.27538; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_folk/none_s2_2026700002.flac,29.907313,48000,-20.9,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,"yes The audio clip features a male voice singing in what sounds like an operatic or choral style. | yes The audio features a male vocalist singing in a melodic, chant-like style. | yes The audio clip features a male voice singing in what sounds like an operatic or choral style."
qwen3.5-omni-flash,smoke_06,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0209_99f9f4b0fa3f.flac,repaired smoke manifest expected=no; Demucs=0.00021; PANNs=0.12239; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/istrong_instr/held_out_0153/I_strong_s106_2028205106.flac,30.185958,48000,-16.3,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,no,False,False,parser returned a concrete yes/no label,unknown,"yes The audio features a deep, processed male voice delivering spoken-word lines in a dramatic style. | yes The audio features a deep, processed male voice delivering spoken-word lines in a dramatic style. | yes The audio features a deep, processed male voice delivering spoken-word lines in a dramatic style."
qwen3.5-omni-flash,smoke_07,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0323_70e420c71e92.flac,repaired smoke manifest expected=no; Demucs=0.00097; PANNs=0.41048; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/genre_instr/genreinstr_electronic/none_s32_2026600032.flac,29.907313,48000,-15.8,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,no,False,False,parser returned a concrete yes/no label,unknown,"yes The clip contains a distorted, processed male voice speaking phrases like ""This one is for the children"" and ""All I want is freedom."" | yes The audio contains a distorted, processed male voice speaking phrases like ""This one is for you"" and ""My God."" | yes The clip contains a distorted, robotic-sounding voice that speaks the phrase ""All you can do is watch."""
qwen3.5-omni-flash,smoke_08,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0332_2d40c0a2a223.flac,repaired smoke manifest expected=no; Demucs=0.00662; PANNs=0.21979; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256/held_out_0080/none_s470_2027400470.flac,41.795938,48000,-10.9,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,no,False,False,parser returned a concrete yes/no label,unknown,yes The audio clip features a male voice rapping in Vietnamese over an electronic beat. | yes The audio features a male voice rapping in Vietnamese. | yes The audio features a male voice rapping in Vietnamese over an electronic beat.
qwen3.5-omni-flash,smoke_09,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0379_7b1bf6aece21.flac,repaired smoke manifest expected=yes; Demucs=0.372; PANNs=0.41049; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/v3_vocal/held_out_0045/V3_s0_2027102000.flac,62.879646,48000,-12.7,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,yes,"yes,yes,yes",3/3,yes,True,False,parser returned a concrete yes/no label,n/a,yes The audio clip features a male voice singing the lyrics with a distinct melodic and rhythmic delivery. | yes The clip features a male vocalist delivering the lyrics in a spoken-word or rap style. | yes The audio clip features a male voice singing the lyrics with a distinct melodic and rhythmic delivery.
qwen3.5-omni-flash,smoke_10,orbit-research/adsr_phase2_20260604/paper_prep/storage_triage/A_PRIME_500_JUDGE_SAMPLE/media/aprime_0406_514e4242add9.flac,repaired smoke manifest expected=no; Demucs=1e-05; PANNs=0.08217; source_path=batch3/exploratory_auto/20260620_regime_atlas_autopilot_v3/01_core_basin_test/keep/bon256_general/held_out_0031/none_s27_2028300027.flac,30.093063,48000,-23.1,False,wav,WAV transcode from FLAC source,"Listen to the audio clip carefully. Question: does this clip contain any human singing or human voice (including spoken word, rap, humming, vocal chops, or choir)? Answer on the FIRST line with exactly one word: yes, no, or unsure. On the SECOND line give a one-sentence reason.",orbit-research/adsr_phase2_20260604/paper_prep/judge_raw/smoke_10clip_repaired_flash_20260707.jsonl,no,"no,no,no",3/3,no,True,False,parser returned a concrete yes/no label,n/a,no The audio clip contains only instrumental music played by a jazz ensemble. | no The audio clip contains only instrumental music played by a jazz ensemble. | no The audio clip contains only instrumental music performed by a jazz ensemble.
