pair_id,rater_initials,overall_preference(A/B/tie),prompt_fit(A/B/tie),vocal_artifacts(A/B/tie),confidence(high/low),comment
06f4701ac6,CXY,A,B,A,high,
0c400857a4,CXY,B,A,B,high,
15c5ab12b4,CXY,B,tie,B,high,两个都不是纯伴奏
1afed822a5,CXY,B,A,A,high,
1bcc08bf50,CXY,tie,tie,tie,high,两段几乎一样
4330d3ef21,CXY,B,B,B,high,
559e9c07d6,CXY,B,tie,B,high,A有人声，B不是庄重古典，两者都不符合prompt
58d566feba,CXY,A,tie,A,high,
59691e99aa,CXY,A,A,B,high,
5c3837be9b,CXY,B,tie,tie,low,
5f883dad0b,CXY,A,A,A,high,
775110280c,CXY,tie,tie,tie,high,两个片段几乎一样
79cd69caa5,CXY,A,tie,A,high,
7c68b8be11,CXY,B,tie,tie,high,都有人声
7d5f199c74,CXY,A,tie,A,high,
966bfff564,CXY,A,tie,A,high,A不算清唱，B副歌不够沉重，故平局
0452678119,CXY,A,B,A,high,
0d73d4c967,CXY,B,B,B,high,
0dc621676d,CXY,A,A,A,high,
0edf418c90,CXY,B,tie,B,high,
0ee6281212,CXY,A,A,A,high,
1dec4ff807,CXY,tie,tie,tie,high,
1f45861ddf,CXY,tie,tie,tie,high,这俩不是一模一样吗？？同时播放音轨完全重合
23a4428f3b,CXY,tie,tie,tie,high,听不出区别
369f221eb7,CXY,tie,tie,tie,high,
37f3136689,CXY,B,B,B,high,
3a3a027580,CXY,tie,tie,tie,high,
45f9308b5c,CXY,tie,tie,tie,high,
469135185c,CXY,tie,tie,tie,high,
0964546740,CXY,B,tie,B,low,
39cdd7883c,CXY,tie,tie,tie,high,
4cf922879e,CXY,B,B,B,high,
4d52fdb395,CXY,B,B,tie,high,
52a3395873,CXY,A,A,A,high,
5a1a9b570b,CXY,tie,tie,tie,high,
610e49ae0e,CXY,B,A,B,high,
658a086f98,CXY,A,B,A,high,
7cd6073fb3,CXY,B,B,B,high,
a2b5e83a7b,CXY,tie,tie,tie,low,都有人声
ab9bad400f,CXY,B,B,B,high,
069de95daf,CXY,B,B,B,high,
0ed5ee6322,CXY,A,A,A,high,
12b92c7484,CXY,B,B,B,high,
14439f519a,CXY,B,B,B,high,
1b2e1ef1e1,CXY,B,B,tie,high,
1bfaec2e1a,CXY,B,B,B,high,
28c0b8d178,CXY,B,tie,B,high,
312449388f,CXY,tie,tie,tie,high,
35461ee581,CXY,B,tie,B,high,
377c6103fb,CXY,tie,tie,tie,high,
37ddd7508b,CXY,tie,tie,tie,low,
3a75fafe4a,CXY,B,B,A,high,
65b7dc1f0c,CXY,tie,tie,tie,high,
68917e9ad4,CXY,B,B,B,high,
7785d4d1e3,CXY,A,B,A,high,
8ca6dff588,CXY,B,B,B,high,
192439394a,CXY,tie,tie,tie,high,
1b56e856e6,CXY,B,B,B,high,
1de7136439,CXY,A,A,A,high,
2286127a28,CXY,A,tie,tie,high,
264728786f,CXY,A,B,A,high,
2b1b642d29,CXY,A,A,A,high,
3a80d5e5d6,CXY,B,B,B,high,
4b0b74e60f,CXY,A,B,A,high,
4c5a75414f,CXY,tie,tie,tie,high,
4c7a1ff29e,CXY,A,tie,A,high,
4dd84edc4d,CXY,B,tie,B,high,
74e77a5d91,CXY,tie,tie,tie,high,
8d9b963d6e,CXY,tie,tie,tie,high,
0e929f6df2,CXY,tie,tie,tie,high,
3e11db4efe,CXY,tie,tie,tie,high,
3f73378469,CXY,B,tie,B,high,两个都有人声
48ee6761b0,CXY,B,B,B,high,
517b7a7682,CXY,tie,tie,tie,high,
5c95b4856b,CXY,B,A,A,high,
6ebb11813a,CXY,B,B,B,high,
819e7fb30f,CXY,tie,tie,tie,high,
8dcd41f95c,CXY,A,A,A,high,
aaafe53dd7,CXY,A,A,tie,high,
ab23d83c0f,CXY,tie,tie,tie,high,