unit_id,prompt_id,root_seed,checkpoint_step,condition_before,condition_after,condition_hash_changed,prefix_nfe,continuation_nfe,valid,label_b_satisfied,common_robust_lcb,clap_to_original_prompt,status
switch::dev_0001::2069000000::12,dev_0001,2069000000,12,d7955627035f4316ecf8b479b0d764d75beb9d77db980b4f1d1953d3c60e6c7a,18cae7076629ee56b6aef52ab2d9013119919d2e1df957909626634f7a4bfc86,True,17,28,True,0,2.112490420498187,0.3401307165622711,PASS
switch::dev_0001::2069000000::18,dev_0001,2069000000,18,d7955627035f4316ecf8b479b0d764d75beb9d77db980b4f1d1953d3c60e6c7a,18cae7076629ee56b6aef52ab2d9013119919d2e1df957909626634f7a4bfc86,True,29,16,True,0,2.312487220500761,0.3622036874294281,PASS
switch::dev_0001::2069000000::6,dev_0001,2069000000,6,d7955627035f4316ecf8b479b0d764d75beb9d77db980b4f1d1953d3c60e6c7a,18cae7076629ee56b6aef52ab2d9013119919d2e1df957909626634f7a4bfc86,True,6,39,True,1,2.1680319404835515,0.24904575943946838,PASS
switch::dev_0001::2069000001::12,dev_0001,2069000001,12,d7955627035f4316ecf8b479b0d764d75beb9d77db980b4f1d1953d3c60e6c7a,18cae7076629ee56b6aef52ab2d9013119919d2e1df957909626634f7a4bfc86,True,17,28,True,1,2.1887762669214577,0.29371243715286255,PASS
switch::dev_0001::2069000001::18,dev_0001,2069000001,18,d7955627035f4316ecf8b479b0d764d75beb9d77db980b4f1d1953d3c60e6c7a,18cae7076629ee56b6aef52ab2d9013119919d2e1df957909626634f7a4bfc86,True,29,16,True,1,2.316637300797855,0.34650981426239014,PASS
switch::dev_0001::2069000001::6,dev_0001,2069000001,6,d7955627035f4316ecf8b479b0d764d75beb9d77db980b4f1d1953d3c60e6c7a,18cae7076629ee56b6aef52ab2d9013119919d2e1df957909626634f7a4bfc86,True,6,39,True,1,2.313214143484847,0.31392309069633484,PASS
switch::dev_0003::2069001000::12,dev_0003,2069001000,12,782e504307a2c24bcddcc5587f40de3da67d950997cfdad9d133f00e8b32825e,eb9ae39b6e7bd3b56179f3689d95487e8a76f214bd902147e2a9f90db9d1fe12,True,17,38,True,1,2.1778861973408943,0.3484326899051666,PASS
switch::dev_0003::2069001000::18,dev_0003,2069001000,18,782e504307a2c24bcddcc5587f40de3da67d950997cfdad9d133f00e8b32825e,eb9ae39b6e7bd3b56179f3689d95487e8a76f214bd902147e2a9f90db9d1fe12,True,29,20,True,1,2.158436658443147,0.35292017459869385,PASS
switch::dev_0003::2069001000::6,dev_0003,2069001000,6,782e504307a2c24bcddcc5587f40de3da67d950997cfdad9d133f00e8b32825e,eb9ae39b6e7bd3b56179f3689d95487e8a76f214bd902147e2a9f90db9d1fe12,True,6,54,True,1,2.174507820672769,0.35029137134552,PASS
switch::dev_0003::2069001001::12,dev_0003,2069001001,12,782e504307a2c24bcddcc5587f40de3da67d950997cfdad9d133f00e8b32825e,eb9ae39b6e7bd3b56179f3689d95487e8a76f214bd902147e2a9f90db9d1fe12,True,17,38,True,1,1.9968701046622512,0.10393126308917999,PASS
switch::dev_0003::2069001001::18,dev_0003,2069001001,18,782e504307a2c24bcddcc5587f40de3da67d950997cfdad9d133f00e8b32825e,eb9ae39b6e7bd3b56179f3689d95487e8a76f214bd902147e2a9f90db9d1fe12,True,29,20,True,1,2.0084337443123847,0.08998069912195206,PASS
switch::dev_0003::2069001001::6,dev_0003,2069001001,6,782e504307a2c24bcddcc5587f40de3da67d950997cfdad9d133f00e8b32825e,eb9ae39b6e7bd3b56179f3689d95487e8a76f214bd902147e2a9f90db9d1fe12,True,6,54,True,1,1.9497572197828044,0.21926257014274597,PASS
switch::dev_0042::2069002000::12,dev_0042,2069002000,12,6d492306d8007ce52d0a3cc5d2149e6eb50bb3535a9106b9c06350b5541ff177,2e7a428bf3e1636f349c939805a5f2d51f49ce9ad5981e062b95c149ba46fcea,True,17,38,True,1,1.801315688701536,0.5107528567314148,PASS
switch::dev_0042::2069002000::18,dev_0042,2069002000,18,6d492306d8007ce52d0a3cc5d2149e6eb50bb3535a9106b9c06350b5541ff177,2e7a428bf3e1636f349c939805a5f2d51f49ce9ad5981e062b95c149ba46fcea,True,29,20,True,1,1.6914337340540708,0.5373803973197937,PASS
switch::dev_0042::2069002000::6,dev_0042,2069002000,6,6d492306d8007ce52d0a3cc5d2149e6eb50bb3535a9106b9c06350b5541ff177,2e7a428bf3e1636f349c939805a5f2d51f49ce9ad5981e062b95c149ba46fcea,True,6,54,True,1,1.8291796353712524,0.48880845308303833,PASS
switch::dev_0042::2069002001::12,dev_0042,2069002001,12,6d492306d8007ce52d0a3cc5d2149e6eb50bb3535a9106b9c06350b5541ff177,2e7a428bf3e1636f349c939805a5f2d51f49ce9ad5981e062b95c149ba46fcea,True,17,38,True,1,1.6982682732774843,0.5301728248596191,PASS
switch::dev_0042::2069002001::18,dev_0042,2069002001,18,6d492306d8007ce52d0a3cc5d2149e6eb50bb3535a9106b9c06350b5541ff177,2e7a428bf3e1636f349c939805a5f2d51f49ce9ad5981e062b95c149ba46fcea,True,29,20,True,1,1.6032131246085206,0.5278208255767822,PASS
switch::dev_0042::2069002001::6,dev_0042,2069002001,6,6d492306d8007ce52d0a3cc5d2149e6eb50bb3535a9106b9c06350b5541ff177,2e7a428bf3e1636f349c939805a5f2d51f49ce9ad5981e062b95c149ba46fcea,True,6,54,True,1,1.7502599200492277,0.5505955219268799,PASS
switch::dev_0103::2069003000::12,dev_0103,2069003000,12,03bf2bf32a5dd498f81d3fbe37796446f8b0e9d30477d780d79360a9e756607b,b35ed3062d1df928a9e2eb6933c29e23d4d54b62004575e962764104d0e2d79b,True,17,28,True,1,2.405941693592594,0.4191277027130127,PASS
switch::dev_0103::2069003000::18,dev_0103,2069003000,18,03bf2bf32a5dd498f81d3fbe37796446f8b0e9d30477d780d79360a9e756607b,b35ed3062d1df928a9e2eb6933c29e23d4d54b62004575e962764104d0e2d79b,True,29,16,True,1,2.3596740487314,0.3760702311992645,PASS
switch::dev_0103::2069003000::6,dev_0103,2069003000,6,03bf2bf32a5dd498f81d3fbe37796446f8b0e9d30477d780d79360a9e756607b,b35ed3062d1df928a9e2eb6933c29e23d4d54b62004575e962764104d0e2d79b,True,6,39,True,1,2.531202266746589,0.41723528504371643,PASS
switch::dev_0103::2069003001::12,dev_0103,2069003001,12,03bf2bf32a5dd498f81d3fbe37796446f8b0e9d30477d780d79360a9e756607b,b35ed3062d1df928a9e2eb6933c29e23d4d54b62004575e962764104d0e2d79b,True,17,28,True,1,2.411593414803749,0.3313862979412079,PASS
switch::dev_0103::2069003001::18,dev_0103,2069003001,18,03bf2bf32a5dd498f81d3fbe37796446f8b0e9d30477d780d79360a9e756607b,b35ed3062d1df928a9e2eb6933c29e23d4d54b62004575e962764104d0e2d79b,True,29,16,True,1,2.3135953249427312,0.3971859812736511,PASS
switch::dev_0103::2069003001::6,dev_0103,2069003001,6,03bf2bf32a5dd498f81d3fbe37796446f8b0e9d30477d780d79360a9e756607b,b35ed3062d1df928a9e2eb6933c29e23d4d54b62004575e962764104d0e2d79b,True,6,39,True,1,2.4496656461713475,0.3048827052116394,PASS
switch::dev_0143::2069004000::12,dev_0143,2069004000,12,6e3e10e6d5a35f5478d28052d4b69b8fc97e2a897fd839dbaa6ff5d363b251e3,1f7b8f15d65bec3ed1482d285a768103b4bcaf7e1700c510d5b46200b236a486,True,17,38,True,1,2.107820237690326,0.33520904183387756,PASS
switch::dev_0143::2069004000::18,dev_0143,2069004000,18,6e3e10e6d5a35f5478d28052d4b69b8fc97e2a897fd839dbaa6ff5d363b251e3,1f7b8f15d65bec3ed1482d285a768103b4bcaf7e1700c510d5b46200b236a486,True,29,20,True,1,2.097621282658475,0.30375877022743225,PASS
switch::dev_0143::2069004000::6,dev_0143,2069004000,6,6e3e10e6d5a35f5478d28052d4b69b8fc97e2a897fd839dbaa6ff5d363b251e3,1f7b8f15d65bec3ed1482d285a768103b4bcaf7e1700c510d5b46200b236a486,True,6,54,True,1,2.034847123130312,0.2921038269996643,PASS
switch::dev_0143::2069004001::12,dev_0143,2069004001,12,6e3e10e6d5a35f5478d28052d4b69b8fc97e2a897fd839dbaa6ff5d363b251e3,1f7b8f15d65bec3ed1482d285a768103b4bcaf7e1700c510d5b46200b236a486,True,17,38,True,1,1.2657824084021012,0.2051919400691986,PASS
switch::dev_0143::2069004001::18,dev_0143,2069004001,18,6e3e10e6d5a35f5478d28052d4b69b8fc97e2a897fd839dbaa6ff5d363b251e3,1f7b8f15d65bec3ed1482d285a768103b4bcaf7e1700c510d5b46200b236a486,True,29,20,True,1,1.2850955417337686,0.2460266649723053,PASS
switch::dev_0143::2069004001::6,dev_0143,2069004001,6,6e3e10e6d5a35f5478d28052d4b69b8fc97e2a897fd839dbaa6ff5d363b251e3,1f7b8f15d65bec3ed1482d285a768103b4bcaf7e1700c510d5b46200b236a486,True,6,54,True,1,1.2784881402950883,0.21346817910671234,PASS
switch::dev_0155::2069005000::12,dev_0155,2069005000,12,78fcb9a064c14891da5cb3074c4f36947fdaf2a32c622f9eb591e1a7ddbdba9d,d825990e99bc86a5fbdb923c1756f22eebb3c03b2a972ca6bb370fc7318d6f38,True,17,28,True,1,2.0283885872735823,0.2845250368118286,PASS
switch::dev_0155::2069005000::18,dev_0155,2069005000,18,78fcb9a064c14891da5cb3074c4f36947fdaf2a32c622f9eb591e1a7ddbdba9d,d825990e99bc86a5fbdb923c1756f22eebb3c03b2a972ca6bb370fc7318d6f38,True,29,16,True,1,2.3861865432942166,0.4551078677177429,PASS
switch::dev_0155::2069005000::6,dev_0155,2069005000,6,78fcb9a064c14891da5cb3074c4f36947fdaf2a32c622f9eb591e1a7ddbdba9d,d825990e99bc86a5fbdb923c1756f22eebb3c03b2a972ca6bb370fc7318d6f38,True,6,39,True,1,1.6993666777928755,0.1464969366788864,PASS
switch::dev_0155::2069005001::12,dev_0155,2069005001,12,78fcb9a064c14891da5cb3074c4f36947fdaf2a32c622f9eb591e1a7ddbdba9d,d825990e99bc86a5fbdb923c1756f22eebb3c03b2a972ca6bb370fc7318d6f38,True,17,28,True,0,2.2509549749123097,0.2907519042491913,PASS
switch::dev_0155::2069005001::18,dev_0155,2069005001,18,78fcb9a064c14891da5cb3074c4f36947fdaf2a32c622f9eb591e1a7ddbdba9d,d825990e99bc86a5fbdb923c1756f22eebb3c03b2a972ca6bb370fc7318d6f38,True,29,16,True,0,2.3581672048073483,0.43830180168151855,PASS
switch::dev_0155::2069005001::6,dev_0155,2069005001,6,78fcb9a064c14891da5cb3074c4f36947fdaf2a32c622f9eb591e1a7ddbdba9d,d825990e99bc86a5fbdb923c1756f22eebb3c03b2a972ca6bb370fc7318d6f38,True,6,39,True,0,2.087578737116662,0.32786235213279724,PASS
switch::dev_0202::2069006000::12,dev_0202,2069006000,12,a4d03aff45c94d1af85ef249468581745c1f257ba172538d1fa0979eb76739a8,2d73887032024535593500a2e10026b74390f1d3d89ccc7cc8b1aef694ef92b7,True,17,38,True,1,2.251312993351141,0.26888307929039,PASS
switch::dev_0202::2069006000::18,dev_0202,2069006000,18,a4d03aff45c94d1af85ef249468581745c1f257ba172538d1fa0979eb76739a8,2d73887032024535593500a2e10026b74390f1d3d89ccc7cc8b1aef694ef92b7,True,29,20,True,1,2.252681488931262,0.26765182614326477,PASS
switch::dev_0202::2069006000::6,dev_0202,2069006000,6,a4d03aff45c94d1af85ef249468581745c1f257ba172538d1fa0979eb76739a8,2d73887032024535593500a2e10026b74390f1d3d89ccc7cc8b1aef694ef92b7,True,6,54,True,1,2.2246279707965644,0.2991887629032135,PASS
switch::dev_0202::2069006001::12,dev_0202,2069006001,12,a4d03aff45c94d1af85ef249468581745c1f257ba172538d1fa0979eb76739a8,2d73887032024535593500a2e10026b74390f1d3d89ccc7cc8b1aef694ef92b7,True,17,38,True,1,2.3529993126998705,0.2405146062374115,PASS
switch::dev_0202::2069006001::18,dev_0202,2069006001,18,a4d03aff45c94d1af85ef249468581745c1f257ba172538d1fa0979eb76739a8,2d73887032024535593500a2e10026b74390f1d3d89ccc7cc8b1aef694ef92b7,True,29,20,True,1,2.3373374141720693,0.2597566246986389,PASS
switch::dev_0202::2069006001::6,dev_0202,2069006001,6,a4d03aff45c94d1af85ef249468581745c1f257ba172538d1fa0979eb76739a8,2d73887032024535593500a2e10026b74390f1d3d89ccc7cc8b1aef694ef92b7,True,6,54,True,1,2.348141748601368,0.2224520444869995,PASS
switch::dev_0246::2069007000::12,dev_0246,2069007000,12,eaa593d7fdba7ebfbcb7fb94f5fbc70d3fb5fc600d9e5cc7751ff132ace9bfa2,34a0626eda6ea350cf155275aaa3b931e336f8d6c7cfbae73bfe5d59269b4fb6,True,17,28,True,0,2.5621635854801954,0.4893910884857178,PASS
switch::dev_0246::2069007000::18,dev_0246,2069007000,18,eaa593d7fdba7ebfbcb7fb94f5fbc70d3fb5fc600d9e5cc7751ff132ace9bfa2,34a0626eda6ea350cf155275aaa3b931e336f8d6c7cfbae73bfe5d59269b4fb6,True,29,16,True,0,2.437375636700911,0.42037656903266907,PASS
switch::dev_0246::2069007000::6,dev_0246,2069007000,6,eaa593d7fdba7ebfbcb7fb94f5fbc70d3fb5fc600d9e5cc7751ff132ace9bfa2,34a0626eda6ea350cf155275aaa3b931e336f8d6c7cfbae73bfe5d59269b4fb6,True,6,39,True,1,2.5523522617879073,0.47959309816360474,PASS
switch::dev_0246::2069007001::12,dev_0246,2069007001,12,eaa593d7fdba7ebfbcb7fb94f5fbc70d3fb5fc600d9e5cc7751ff132ace9bfa2,34a0626eda6ea350cf155275aaa3b931e336f8d6c7cfbae73bfe5d59269b4fb6,True,17,28,True,0,2.5335267889368533,0.4213345944881439,PASS
switch::dev_0246::2069007001::18,dev_0246,2069007001,18,eaa593d7fdba7ebfbcb7fb94f5fbc70d3fb5fc600d9e5cc7751ff132ace9bfa2,34a0626eda6ea350cf155275aaa3b931e336f8d6c7cfbae73bfe5d59269b4fb6,True,29,16,True,0,2.3979959008354474,0.3464008569717407,PASS
switch::dev_0246::2069007001::6,dev_0246,2069007001,6,eaa593d7fdba7ebfbcb7fb94f5fbc70d3fb5fc600d9e5cc7751ff132ace9bfa2,34a0626eda6ea350cf155275aaa3b931e336f8d6c7cfbae73bfe5d59269b4fb6,True,6,39,True,1,2.2884070739372104,0.41633087396621704,PASS
