phase,unit_id,prompt_id,root_seed,checkpoint_step,prefix_nfe,action_nfe,total_program_nfe,scheduler_steps,wall_seconds,cuda_seconds,status
root,root::dev_0001::2069000000,dev_0001,2069000000,0,0,45,45,30,16.980394449084997,16.9795703125,PASS
root,root::dev_0143::2069004000,dev_0143,2069004000,0,0,45,45,30,2.4695857353508472,2.46940771484375,PASS
root,root::dev_0001::2069000001,dev_0001,2069000001,0,0,45,45,30,17.01909418590367,17.018595703125,PASS
root,root::dev_0143::2069004001,dev_0143,2069004001,0,0,45,45,30,2.4240316413342953,2.423809326171875,PASS
root,root::dev_0003::2069001000,dev_0003,2069001000,0,0,45,45,30,17.15539470873773,17.103609375,PASS
root,root::dev_0155::2069005000,dev_0155,2069005000,0,0,45,45,30,3.2993660736829042,3.29898583984375,PASS
root,root::dev_0003::2069001001,dev_0003,2069001001,0,0,45,45,30,17.15402258001268,17.102755859375,PASS
root,root::dev_0155::2069005001,dev_0155,2069005001,0,0,45,45,30,3.3263946548104286,3.32602197265625,PASS
root,root::dev_0042::2069002000,dev_0042,2069002000,0,0,45,45,30,17.15503499470651,17.10325390625,PASS
root,root::dev_0202::2069006000,dev_0202,2069006000,0,0,45,45,30,2.439763693138957,2.43957470703125,PASS
root,root::dev_0042::2069002001,dev_0042,2069002001,0,0,45,45,30,17.155504312366247,17.1034609375,PASS
root,root::dev_0202::2069006001,dev_0202,2069006001,0,0,45,45,30,2.4859253726899624,2.485728515625,PASS
root,root::dev_0103::2069003000,dev_0103,2069003000,0,0,45,45,30,16.984995014965534,16.984201171875,PASS
root,root::dev_0246::2069007000,dev_0246,2069007000,0,0,45,45,30,3.785020276904106,3.78474462890625,PASS
root,root::dev_0103::2069003001,dev_0103,2069003001,0,0,45,45,30,16.980181131511927,16.97956640625,PASS
root,root::dev_0246::2069007001,dev_0246,2069007001,0,0,45,45,30,3.76609786786139,3.765791015625,PASS
resume,resume::dev_0001::2069000000::6,dev_0001,2069000000,6,6,39,45,24,2.5132312923669815,2.51278076171875,PASS
resume,resume::dev_0003::2069001000::18,dev_0003,2069001000,18,29,16,45,12,1.1147497817873955,1.11458447265625,PASS
resume,resume::dev_0042::2069002001::12,dev_0042,2069002001,12,17,28,45,18,1.7117667496204376,1.71151123046875,PASS
resume,resume::dev_0143::2069004000::6,dev_0143,2069004000,6,6,39,45,24,2.2748048044741154,2.274636962890625,PASS
resume,resume::dev_0155::2069005000::18,dev_0155,2069005000,18,29,16,45,12,1.4629427883774042,1.4627303466796875,PASS
resume,resume::dev_0202::2069006001::12,dev_0202,2069006001,12,17,28,45,18,1.6810263078659773,1.680836181640625,PASS
resume,resume::dev_0001::2069000000::12,dev_0001,2069000000,12,17,28,45,18,1.922233572229743,1.921957275390625,PASS
resume,resume::dev_0003::2069001001::6,dev_0003,2069001001,6,6,39,45,24,2.1941715236753225,2.193984130859375,PASS
resume,resume::dev_0042::2069002001::18,dev_0042,2069002001,18,29,16,45,12,1.1130546163767576,1.11289013671875,PASS
resume,resume::dev_0143::2069004000::12,dev_0143,2069004000,12,17,28,45,18,1.647538173943758,1.6472606201171875,PASS
resume,resume::dev_0155::2069005001::6,dev_0155,2069005001,6,6,39,45,24,2.9130941219627857,2.912712646484375,PASS
resume,resume::dev_0202::2069006001::18,dev_0202,2069006001,18,29,16,45,12,1.0333101619035006,1.033107177734375,PASS
resume,resume::dev_0001::2069000000::18,dev_0001,2069000000,18,29,16,45,12,1.3628496117889881,1.36255126953125,PASS
resume,resume::dev_0003::2069001001::12,dev_0003,2069001001,12,17,28,45,18,1.756695570424199,1.756523193359375,PASS
resume,resume::dev_0103::2069003000::6,dev_0103,2069003000,6,6,39,45,24,2.199454016983509,2.19923046875,PASS
resume,resume::dev_0143::2069004000::18,dev_0143,2069004000,18,29,16,45,12,1.056512301787734,1.0563143310546874,PASS
resume,resume::dev_0155::2069005001::12,dev_0155,2069005001,12,17,28,45,18,2.2186403032392263,2.21842431640625,PASS
resume,resume::dev_0246::2069007000::6,dev_0246,2069007000,6,6,39,45,24,3.322491157799959,3.32227099609375,PASS
resume,resume::dev_0001::2069000001::6,dev_0001,2069000001,6,6,39,45,24,2.5654190853238106,2.565075927734375,PASS
resume,resume::dev_0003::2069001001::18,dev_0003,2069001001,18,29,16,45,12,1.094878925010562,1.094728515625,PASS
resume,resume::dev_0103::2069003000::12,dev_0103,2069003000,12,17,28,45,18,1.7366934530436993,1.7364713134765626,PASS
resume,resume::dev_0143::2069004001::6,dev_0143,2069004001,6,6,39,45,24,2.2410999462008476,2.240930908203125,PASS
resume,resume::dev_0155::2069005001::18,dev_0155,2069005001,18,29,16,45,12,1.4574805945158005,1.4573177490234375,PASS
resume,resume::dev_0246::2069007000::12,dev_0246,2069007000,12,17,28,45,18,2.5474643874913454,2.54721923828125,PASS
resume,resume::dev_0001::2069000001::12,dev_0001,2069000001,12,17,28,45,18,3.3396428506821394,3.33932763671875,PASS
resume,resume::dev_0042::2069002000::6,dev_0042,2069002000,6,6,39,45,24,2.4047387558966875,2.404543212890625,PASS
resume,resume::dev_0103::2069003000::18,dev_0103,2069003000,18,29,16,45,12,1.059013094753027,1.058853515625,PASS
resume,resume::dev_0143::2069004001::12,dev_0143,2069004001,12,17,28,45,18,1.6172582674771547,1.61711474609375,PASS
resume,resume::dev_0202::2069006000::6,dev_0202,2069006000,6,6,39,45,24,2.152824116870761,2.152625244140625,PASS
resume,resume::dev_0246::2069007000::18,dev_0246,2069007000,18,29,16,45,12,1.6758378110826015,1.675625732421875,PASS
resume,resume::dev_0001::2069000001::18,dev_0001,2069000001,18,29,16,45,12,2.11662270873785,2.116281494140625,PASS
resume,resume::dev_0042::2069002000::12,dev_0042,2069002000,12,17,28,45,18,1.774287672713399,1.7741063232421874,PASS
resume,resume::dev_0103::2069003001::6,dev_0103,2069003001,6,6,39,45,24,2.347856441512704,2.34762744140625,PASS
resume,resume::dev_0143::2069004001::18,dev_0143,2069004001,18,29,16,45,12,1.0733684208244085,1.0731766357421875,PASS
resume,resume::dev_0202::2069006000::12,dev_0202,2069006000,12,17,28,45,18,1.656231226399541,1.656072265625,PASS
resume,resume::dev_0246::2069007001::6,dev_0246,2069007001,6,6,39,45,24,3.3158668093383312,3.315682373046875,PASS
resume,resume::dev_0003::2069001000::6,dev_0003,2069001000,6,6,39,45,24,2.2967237420380116,2.296445556640625,PASS
resume,resume::dev_0042::2069002000::18,dev_0042,2069002000,18,29,16,45,12,1.1181435342878103,1.117981201171875,PASS
resume,resume::dev_0103::2069003001::12,dev_0103,2069003001,12,17,28,45,18,1.6287923362106085,1.628608642578125,PASS
resume,resume::dev_0155::2069005000::6,dev_0155,2069005000,6,6,39,45,24,2.9204290229827166,2.92020751953125,PASS
resume,resume::dev_0202::2069006000::18,dev_0202,2069006000,18,29,16,45,12,1.0275467801839113,1.02739111328125,PASS
resume,resume::dev_0246::2069007001::12,dev_0246,2069007001,12,17,28,45,18,2.5391030870378017,2.538872314453125,PASS
resume,resume::dev_0003::2069001000::12,dev_0003,2069001000,12,17,28,45,18,1.8402909561991692,1.8400548095703124,PASS
resume,resume::dev_0042::2069002001::6,dev_0042,2069002001,6,6,39,45,24,2.225291606038809,2.225062255859375,PASS
resume,resume::dev_0103::2069003001::18,dev_0103,2069003001,18,29,16,45,12,1.0764474626630545,1.0762623291015625,PASS
resume,resume::dev_0155::2069005000::12,dev_0155,2069005000,12,17,28,45,18,2.216235976666212,2.21602197265625,PASS
resume,resume::dev_0202::2069006001::6,dev_0202,2069006001,6,6,39,45,24,2.1353997346013784,2.135187255859375,PASS
resume,resume::dev_0246::2069007001::18,dev_0246,2069007001,18,29,16,45,12,1.6710165031254292,1.6707913818359375,PASS
switch,switch::dev_0001::2069000000::6,dev_0001,2069000000,6,6,39,45,24,2.5156303253024817,2.5153330078125,PASS
switch,switch::dev_0003::2069001000::18,dev_0003,2069001000,18,29,20,49,12,1.2367635238915682,1.236609375,PASS
switch,switch::dev_0042::2069002001::12,dev_0042,2069002001,12,17,38,55,18,2.1576176080852747,2.157437744140625,PASS
switch,switch::dev_0143::2069004000::6,dev_0143,2069004000,6,6,54,60,24,2.8338373471051455,2.8336806640625,PASS
switch,switch::dev_0155::2069005000::18,dev_0155,2069005000,18,29,16,45,12,1.4558301232755184,1.4556654052734375,PASS
switch,switch::dev_0202::2069006001::12,dev_0202,2069006001,12,17,38,55,18,2.104788037016988,2.10460595703125,PASS
switch,switch::dev_0001::2069000000::12,dev_0001,2069000000,12,17,28,45,18,1.925559852272272,1.925170166015625,PASS
switch,switch::dev_0003::2069001001::6,dev_0003,2069001001,6,6,54,60,24,2.949891099706292,2.949700927734375,PASS
switch,switch::dev_0042::2069002001::18,dev_0042,2069002001,18,29,20,49,12,1.349052643403411,1.3488292236328125,PASS
switch,switch::dev_0143::2069004000::12,dev_0143,2069004000,12,17,38,55,18,2.145865149796009,2.145691650390625,PASS
switch,switch::dev_0155::2069005001::6,dev_0155,2069005001,6,6,39,45,24,2.937905501574278,2.937659423828125,PASS
switch,switch::dev_0202::2069006001::18,dev_0202,2069006001,18,29,20,49,12,1.269144631922245,1.2689521484375,PASS
switch,switch::dev_0001::2069000000::18,dev_0001,2069000000,18,29,16,45,12,1.339529750868678,1.339218017578125,PASS
switch,switch::dev_0003::2069001001::12,dev_0003,2069001001,12,17,38,55,18,2.0709498170763254,2.070781982421875,PASS
switch,switch::dev_0103::2069003000::6,dev_0103,2069003000,6,6,39,45,24,2.166785379871726,2.166568115234375,PASS
switch,switch::dev_0143::2069004000::18,dev_0143,2069004000,18,29,20,49,12,1.2440317161381245,1.2438505859375,PASS
switch,switch::dev_0155::2069005001::12,dev_0155,2069005001,12,17,28,45,18,2.2076166421175003,2.20742724609375,PASS
switch,switch::dev_0246::2069007000::6,dev_0246,2069007000,6,6,39,45,24,3.3209521155804396,3.320762451171875,PASS
switch,switch::dev_0001::2069000001::6,dev_0001,2069000001,6,6,39,45,24,2.6884431783109903,2.6881279296875,PASS
switch,switch::dev_0003::2069001001::18,dev_0003,2069001001,18,29,20,49,12,1.2348020691424608,1.234651123046875,PASS
switch,switch::dev_0103::2069003000::12,dev_0103,2069003000,12,17,28,45,18,1.6690156739205122,1.668810546875,PASS
switch,switch::dev_0143::2069004001::6,dev_0143,2069004001,6,6,54,60,24,2.8800440300256014,2.87984814453125,PASS
switch,switch::dev_0155::2069005001::18,dev_0155,2069005001,18,29,16,45,12,1.4597525969147682,1.459591064453125,PASS
switch,switch::dev_0246::2069007000::12,dev_0246,2069007000,12,17,28,45,18,2.532699890434742,2.532528076171875,PASS
switch,switch::dev_0001::2069000001::12,dev_0001,2069000001,12,17,28,45,18,1.856117945164442,1.8558214111328124,PASS
switch,switch::dev_0042::2069002000::6,dev_0042,2069002000,6,6,54,60,24,2.8650719337165356,2.8648935546875,PASS
switch,switch::dev_0103::2069003000::18,dev_0103,2069003000,18,29,16,45,12,1.0349232163280249,1.0347301025390625,PASS
switch,switch::dev_0143::2069004001::12,dev_0143,2069004001,12,17,38,55,18,2.0238154996186495,2.023650634765625,PASS
switch,switch::dev_0202::2069006000::6,dev_0202,2069006000,6,6,54,60,24,2.7443494983017445,2.744187744140625,PASS
switch,switch::dev_0246::2069007000::18,dev_0246,2069007000,18,29,16,45,12,1.665934143587947,1.66575634765625,PASS
switch,switch::dev_0001::2069000001::18,dev_0001,2069000001,18,29,16,45,12,1.432286575436592,1.43199072265625,PASS
switch,switch::dev_0042::2069002000::12,dev_0042,2069002000,12,17,38,55,18,2.1252967547625303,2.125064697265625,PASS
switch,switch::dev_0103::2069003001::6,dev_0103,2069003001,6,6,39,45,24,2.1818719562143087,2.181668701171875,PASS
switch,switch::dev_0143::2069004001::18,dev_0143,2069004001,18,29,20,49,12,1.2465494126081467,1.2464058837890626,PASS
switch,switch::dev_0202::2069006000::12,dev_0202,2069006000,12,17,38,55,18,2.1060255635529757,2.10585986328125,PASS
switch,switch::dev_0246::2069007001::6,dev_0246,2069007001,6,6,39,45,24,3.328008010983467,3.32780712890625,PASS
switch,switch::dev_0003::2069001000::6,dev_0003,2069001000,6,6,54,60,24,3.170321511104703,3.170031005859375,PASS
switch,switch::dev_0042::2069002000::18,dev_0042,2069002000,18,29,20,49,12,1.3170779906213284,1.316868896484375,PASS
switch,switch::dev_0103::2069003001::12,dev_0103,2069003001,12,17,28,45,18,1.6289312615990639,1.6287481689453125,PASS
switch,switch::dev_0155::2069005000::6,dev_0155,2069005000,6,6,39,45,24,2.9284279104322195,2.928244873046875,PASS
switch,switch::dev_0202::2069006000::18,dev_0202,2069006000,18,29,20,49,12,1.2243304513394833,1.224181640625,PASS
switch,switch::dev_0246::2069007001::12,dev_0246,2069007001,12,17,28,45,18,2.54523510299623,2.545056396484375,PASS
switch,switch::dev_0003::2069001000::12,dev_0003,2069001000,12,17,38,55,18,2.3416600674390793,2.341412841796875,PASS
switch,switch::dev_0042::2069002001::6,dev_0042,2069002001,6,6,54,60,24,2.858477983623743,2.858272216796875,PASS
switch,switch::dev_0103::2069003001::18,dev_0103,2069003001,18,29,16,45,12,1.0558395888656378,1.055680908203125,PASS
switch,switch::dev_0155::2069005000::12,dev_0155,2069005000,12,17,28,45,18,2.2206136267632246,2.2204365234375,PASS
switch,switch::dev_0202::2069006001::6,dev_0202,2069006001,6,6,54,60,24,2.797581136226654,2.7973525390625,PASS
switch,switch::dev_0246::2069007001::18,dev_0246,2069007001,18,29,16,45,12,1.676097884774208,1.675907470703125,PASS
