request_type,corrected_score_band,old_detector_status,corrected_status,old_corrected_disagreement,source_family,calibration_stratum,frame_eligible_count,selected_train_count,selected_heldout_count,selected_transport_count,selected_reserve_count
vocal,low,0,0,0,spine,vocal|low|old0|corrected0|disagree0|spine,58,5,6,0,19
vocal,low,0,0,0,N2,vocal|low|old0|corrected0|disagree0|N2,1252,0,0,0,0
vocal,low,0,0,0,Stage3,vocal|low|old0|corrected0|disagree0|Stage3,391,0,0,0,0
vocal,low,0,0,0,Batch3_keep,vocal|low|old0|corrected0|disagree0|Batch3_keep,227,0,0,0,0
vocal,low,0,0,1,spine,vocal|low|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,low,0,0,1,N2,vocal|low|old0|corrected0|disagree1|N2,0,0,0,0,0
vocal,low,0,0,1,Stage3,vocal|low|old0|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,low,0,0,1,Batch3_keep,vocal|low|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,low,0,1,0,spine,vocal|low|old0|corrected1|disagree0|spine,0,0,0,0,0
vocal,low,0,1,0,N2,vocal|low|old0|corrected1|disagree0|N2,0,0,0,0,0
vocal,low,0,1,0,Stage3,vocal|low|old0|corrected1|disagree0|Stage3,0,0,0,0,0
vocal,low,0,1,0,Batch3_keep,vocal|low|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
vocal,low,0,1,1,spine,vocal|low|old0|corrected1|disagree1|spine,145,4,6,0,14
vocal,low,0,1,1,N2,vocal|low|old0|corrected1|disagree1|N2,2059,0,0,5,0
vocal,low,0,1,1,Stage3,vocal|low|old0|corrected1|disagree1|Stage3,456,0,0,4,0
vocal,low,0,1,1,Batch3_keep,vocal|low|old0|corrected1|disagree1|Batch3_keep,221,0,0,5,0
vocal,low,1,0,0,spine,vocal|low|old1|corrected0|disagree0|spine,0,0,0,0,0
vocal,low,1,0,0,N2,vocal|low|old1|corrected0|disagree0|N2,0,0,0,0,0
vocal,low,1,0,0,Stage3,vocal|low|old1|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,low,1,0,0,Batch3_keep,vocal|low|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,low,1,0,1,spine,vocal|low|old1|corrected0|disagree1|spine,1,0,1,0,0
vocal,low,1,0,1,N2,vocal|low|old1|corrected0|disagree1|N2,5,0,0,0,0
vocal,low,1,0,1,Stage3,vocal|low|old1|corrected0|disagree1|Stage3,3,0,0,1,0
vocal,low,1,0,1,Batch3_keep,vocal|low|old1|corrected0|disagree1|Batch3_keep,3,0,0,0,0
vocal,low,1,1,0,spine,vocal|low|old1|corrected1|disagree0|spine,84,4,3,0,14
vocal,low,1,1,0,N2,vocal|low|old1|corrected1|disagree0|N2,301,0,0,0,0
vocal,low,1,1,0,Stage3,vocal|low|old1|corrected1|disagree0|Stage3,78,0,0,0,0
vocal,low,1,1,0,Batch3_keep,vocal|low|old1|corrected1|disagree0|Batch3_keep,52,0,0,0,0
vocal,low,1,1,1,spine,vocal|low|old1|corrected1|disagree1|spine,0,0,0,0,0
vocal,low,1,1,1,N2,vocal|low|old1|corrected1|disagree1|N2,0,0,0,0,0
vocal,low,1,1,1,Stage3,vocal|low|old1|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,low,1,1,1,Batch3_keep,vocal|low|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,0,0,0,spine,vocal|boundary|old0|corrected0|disagree0|spine,0,0,0,0,0
vocal,boundary,0,0,0,N2,vocal|boundary|old0|corrected0|disagree0|N2,0,0,0,0,0
vocal,boundary,0,0,0,Stage3,vocal|boundary|old0|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,boundary,0,0,0,Batch3_keep,vocal|boundary|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,0,0,1,spine,vocal|boundary|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,boundary,0,0,1,N2,vocal|boundary|old0|corrected0|disagree1|N2,0,0,0,0,0
vocal,boundary,0,0,1,Stage3,vocal|boundary|old0|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,boundary,0,0,1,Batch3_keep,vocal|boundary|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,0,1,0,spine,vocal|boundary|old0|corrected1|disagree0|spine,0,0,0,0,0
vocal,boundary,0,1,0,N2,vocal|boundary|old0|corrected1|disagree0|N2,0,0,0,0,0
vocal,boundary,0,1,0,Stage3,vocal|boundary|old0|corrected1|disagree0|Stage3,0,0,0,0,0
vocal,boundary,0,1,0,Batch3_keep,vocal|boundary|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,0,1,1,spine,vocal|boundary|old0|corrected1|disagree1|spine,333,4,8,0,15
vocal,boundary,0,1,1,N2,vocal|boundary|old0|corrected1|disagree1|N2,2896,0,0,0,0
vocal,boundary,0,1,1,Stage3,vocal|boundary|old0|corrected1|disagree1|Stage3,617,0,0,0,0
vocal,boundary,0,1,1,Batch3_keep,vocal|boundary|old0|corrected1|disagree1|Batch3_keep,280,0,0,0,0
vocal,boundary,1,0,0,spine,vocal|boundary|old1|corrected0|disagree0|spine,0,0,0,0,0
vocal,boundary,1,0,0,N2,vocal|boundary|old1|corrected0|disagree0|N2,0,0,0,0,0
vocal,boundary,1,0,0,Stage3,vocal|boundary|old1|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,boundary,1,0,0,Batch3_keep,vocal|boundary|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,boundary,1,0,1,spine,vocal|boundary|old1|corrected0|disagree1|spine,0,0,0,0,0
vocal,boundary,1,0,1,N2,vocal|boundary|old1|corrected0|disagree1|N2,0,0,0,0,0
vocal,boundary,1,0,1,Stage3,vocal|boundary|old1|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,boundary,1,0,1,Batch3_keep,vocal|boundary|old1|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,boundary,1,1,0,spine,vocal|boundary|old1|corrected1|disagree0|spine,788,5,14,0,14
vocal,boundary,1,1,0,N2,vocal|boundary|old1|corrected1|disagree0|N2,2124,0,0,0,0
vocal,boundary,1,1,0,Stage3,vocal|boundary|old1|corrected1|disagree0|Stage3,347,0,0,0,0
vocal,boundary,1,1,0,Batch3_keep,vocal|boundary|old1|corrected1|disagree0|Batch3_keep,91,0,0,0,0
vocal,boundary,1,1,1,spine,vocal|boundary|old1|corrected1|disagree1|spine,0,0,0,0,0
vocal,boundary,1,1,1,N2,vocal|boundary|old1|corrected1|disagree1|N2,0,0,0,0,0
vocal,boundary,1,1,1,Stage3,vocal|boundary|old1|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,boundary,1,1,1,Batch3_keep,vocal|boundary|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,0,0,0,spine,vocal|high|old0|corrected0|disagree0|spine,0,0,0,0,0
vocal,high,0,0,0,N2,vocal|high|old0|corrected0|disagree0|N2,0,0,0,0,0
vocal,high,0,0,0,Stage3,vocal|high|old0|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,high,0,0,0,Batch3_keep,vocal|high|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,high,0,0,1,spine,vocal|high|old0|corrected0|disagree1|spine,0,0,0,0,0
vocal,high,0,0,1,N2,vocal|high|old0|corrected0|disagree1|N2,0,0,0,0,0
vocal,high,0,0,1,Stage3,vocal|high|old0|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,high,0,0,1,Batch3_keep,vocal|high|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,0,1,0,spine,vocal|high|old0|corrected1|disagree0|spine,0,0,0,0,0
vocal,high,0,1,0,N2,vocal|high|old0|corrected1|disagree0|N2,0,0,0,0,0
vocal,high,0,1,0,Stage3,vocal|high|old0|corrected1|disagree0|Stage3,0,0,0,0,0
vocal,high,0,1,0,Batch3_keep,vocal|high|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
vocal,high,0,1,1,spine,vocal|high|old0|corrected1|disagree1|spine,0,0,0,0,0
vocal,high,0,1,1,N2,vocal|high|old0|corrected1|disagree1|N2,0,0,0,0,0
vocal,high,0,1,1,Stage3,vocal|high|old0|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,high,0,1,1,Batch3_keep,vocal|high|old0|corrected1|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,1,0,0,spine,vocal|high|old1|corrected0|disagree0|spine,0,0,0,0,0
vocal,high,1,0,0,N2,vocal|high|old1|corrected0|disagree0|N2,0,0,0,0,0
vocal,high,1,0,0,Stage3,vocal|high|old1|corrected0|disagree0|Stage3,0,0,0,0,0
vocal,high,1,0,0,Batch3_keep,vocal|high|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
vocal,high,1,0,1,spine,vocal|high|old1|corrected0|disagree1|spine,0,0,0,0,0
vocal,high,1,0,1,N2,vocal|high|old1|corrected0|disagree1|N2,0,0,0,0,0
vocal,high,1,0,1,Stage3,vocal|high|old1|corrected0|disagree1|Stage3,0,0,0,0,0
vocal,high,1,0,1,Batch3_keep,vocal|high|old1|corrected0|disagree1|Batch3_keep,0,0,0,0,0
vocal,high,1,1,0,spine,vocal|high|old1|corrected1|disagree0|spine,1119,4,12,0,14
vocal,high,1,1,0,N2,vocal|high|old1|corrected1|disagree0|N2,1731,0,0,0,0
vocal,high,1,1,0,Stage3,vocal|high|old1|corrected1|disagree0|Stage3,1372,0,0,0,0
vocal,high,1,1,0,Batch3_keep,vocal|high|old1|corrected1|disagree0|Batch3_keep,75,0,0,0,0
vocal,high,1,1,1,spine,vocal|high|old1|corrected1|disagree1|spine,0,0,0,0,0
vocal,high,1,1,1,N2,vocal|high|old1|corrected1|disagree1|N2,0,0,0,0,0
vocal,high,1,1,1,Stage3,vocal|high|old1|corrected1|disagree1|Stage3,0,0,0,0,0
vocal,high,1,1,1,Batch3_keep,vocal|high|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
instrumental,low,0,0,0,spine,instrumental|low|old0|corrected0|disagree0|spine,925,5,13,0,14
instrumental,low,0,0,0,N2,instrumental|low|old0|corrected0|disagree0|N2,3619,0,0,0,0
instrumental,low,0,0,0,Stage3,instrumental|low|old0|corrected0|disagree0|Stage3,437,0,0,0,0
instrumental,low,0,0,0,Batch3_keep,instrumental|low|old0|corrected0|disagree0|Batch3_keep,131,0,0,0,0
instrumental,low,0,0,1,spine,instrumental|low|old0|corrected0|disagree1|spine,0,0,0,0,0
instrumental,low,0,0,1,N2,instrumental|low|old0|corrected0|disagree1|N2,0,0,0,0,0
instrumental,low,0,0,1,Stage3,instrumental|low|old0|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,low,0,0,1,Batch3_keep,instrumental|low|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
instrumental,low,0,1,0,spine,instrumental|low|old0|corrected1|disagree0|spine,0,0,0,0,0
instrumental,low,0,1,0,N2,instrumental|low|old0|corrected1|disagree0|N2,0,0,0,0,0
instrumental,low,0,1,0,Stage3,instrumental|low|old0|corrected1|disagree0|Stage3,0,0,0,0,0
instrumental,low,0,1,0,Batch3_keep,instrumental|low|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
instrumental,low,0,1,1,spine,instrumental|low|old0|corrected1|disagree1|spine,104,5,6,0,18
instrumental,low,0,1,1,N2,instrumental|low|old0|corrected1|disagree1|N2,431,0,0,2,0
instrumental,low,0,1,1,Stage3,instrumental|low|old0|corrected1|disagree1|Stage3,160,0,0,2,0
instrumental,low,0,1,1,Batch3_keep,instrumental|low|old0|corrected1|disagree1|Batch3_keep,68,0,0,1,0
instrumental,low,1,0,0,spine,instrumental|low|old1|corrected0|disagree0|spine,0,0,0,0,0
instrumental,low,1,0,0,N2,instrumental|low|old1|corrected0|disagree0|N2,0,0,0,0,0
instrumental,low,1,0,0,Stage3,instrumental|low|old1|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,low,1,0,0,Batch3_keep,instrumental|low|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
instrumental,low,1,0,1,spine,instrumental|low|old1|corrected0|disagree1|spine,28,4,4,0,15
instrumental,low,1,0,1,N2,instrumental|low|old1|corrected0|disagree1|N2,31,0,0,0,0
instrumental,low,1,0,1,Stage3,instrumental|low|old1|corrected0|disagree1|Stage3,7,0,0,0,0
instrumental,low,1,0,1,Batch3_keep,instrumental|low|old1|corrected0|disagree1|Batch3_keep,5,0,0,0,0
instrumental,low,1,1,0,spine,instrumental|low|old1|corrected1|disagree0|spine,20,5,6,0,9
instrumental,low,1,1,0,N2,instrumental|low|old1|corrected1|disagree0|N2,55,0,0,0,0
instrumental,low,1,1,0,Stage3,instrumental|low|old1|corrected1|disagree0|Stage3,22,0,0,0,0
instrumental,low,1,1,0,Batch3_keep,instrumental|low|old1|corrected1|disagree0|Batch3_keep,8,0,0,0,0
instrumental,low,1,1,1,spine,instrumental|low|old1|corrected1|disagree1|spine,0,0,0,0,0
instrumental,low,1,1,1,N2,instrumental|low|old1|corrected1|disagree1|N2,0,0,0,0,0
instrumental,low,1,1,1,Stage3,instrumental|low|old1|corrected1|disagree1|Stage3,0,0,0,0,0
instrumental,low,1,1,1,Batch3_keep,instrumental|low|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
instrumental,boundary,0,0,0,spine,instrumental|boundary|old0|corrected0|disagree0|spine,0,0,0,0,0
instrumental,boundary,0,0,0,N2,instrumental|boundary|old0|corrected0|disagree0|N2,0,0,0,0,0
instrumental,boundary,0,0,0,Stage3,instrumental|boundary|old0|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,boundary,0,0,0,Batch3_keep,instrumental|boundary|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
instrumental,boundary,0,0,1,spine,instrumental|boundary|old0|corrected0|disagree1|spine,0,0,0,0,0
instrumental,boundary,0,0,1,N2,instrumental|boundary|old0|corrected0|disagree1|N2,0,0,0,0,0
instrumental,boundary,0,0,1,Stage3,instrumental|boundary|old0|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,boundary,0,0,1,Batch3_keep,instrumental|boundary|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
instrumental,boundary,0,1,0,spine,instrumental|boundary|old0|corrected1|disagree0|spine,0,0,0,0,0
instrumental,boundary,0,1,0,N2,instrumental|boundary|old0|corrected1|disagree0|N2,0,0,0,0,0
instrumental,boundary,0,1,0,Stage3,instrumental|boundary|old0|corrected1|disagree0|Stage3,0,0,0,0,0
instrumental,boundary,0,1,0,Batch3_keep,instrumental|boundary|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
instrumental,boundary,0,1,1,spine,instrumental|boundary|old0|corrected1|disagree1|spine,132,5,7,0,18
instrumental,boundary,0,1,1,N2,instrumental|boundary|old0|corrected1|disagree1|N2,529,0,0,0,0
instrumental,boundary,0,1,1,Stage3,instrumental|boundary|old0|corrected1|disagree1|Stage3,409,0,0,0,0
instrumental,boundary,0,1,1,Batch3_keep,instrumental|boundary|old0|corrected1|disagree1|Batch3_keep,154,0,0,0,0
instrumental,boundary,1,0,0,spine,instrumental|boundary|old1|corrected0|disagree0|spine,0,0,0,0,0
instrumental,boundary,1,0,0,N2,instrumental|boundary|old1|corrected0|disagree0|N2,0,0,0,0,0
instrumental,boundary,1,0,0,Stage3,instrumental|boundary|old1|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,boundary,1,0,0,Batch3_keep,instrumental|boundary|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
instrumental,boundary,1,0,1,spine,instrumental|boundary|old1|corrected0|disagree1|spine,0,0,0,0,0
instrumental,boundary,1,0,1,N2,instrumental|boundary|old1|corrected0|disagree1|N2,0,0,0,0,0
instrumental,boundary,1,0,1,Stage3,instrumental|boundary|old1|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,boundary,1,0,1,Batch3_keep,instrumental|boundary|old1|corrected0|disagree1|Batch3_keep,0,0,0,0,0
instrumental,boundary,1,1,0,spine,instrumental|boundary|old1|corrected1|disagree0|spine,112,5,8,0,18
instrumental,boundary,1,1,0,N2,instrumental|boundary|old1|corrected1|disagree0|N2,522,0,0,0,0
instrumental,boundary,1,1,0,Stage3,instrumental|boundary|old1|corrected1|disagree0|Stage3,489,0,0,0,0
instrumental,boundary,1,1,0,Batch3_keep,instrumental|boundary|old1|corrected1|disagree0|Batch3_keep,12,0,0,0,0
instrumental,boundary,1,1,1,spine,instrumental|boundary|old1|corrected1|disagree1|spine,0,0,0,0,0
instrumental,boundary,1,1,1,N2,instrumental|boundary|old1|corrected1|disagree1|N2,0,0,0,0,0
instrumental,boundary,1,1,1,Stage3,instrumental|boundary|old1|corrected1|disagree1|Stage3,0,0,0,0,0
instrumental,boundary,1,1,1,Batch3_keep,instrumental|boundary|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
instrumental,high,0,0,0,spine,instrumental|high|old0|corrected0|disagree0|spine,0,0,0,0,0
instrumental,high,0,0,0,N2,instrumental|high|old0|corrected0|disagree0|N2,0,0,0,0,0
instrumental,high,0,0,0,Stage3,instrumental|high|old0|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,high,0,0,0,Batch3_keep,instrumental|high|old0|corrected0|disagree0|Batch3_keep,0,0,0,0,0
instrumental,high,0,0,1,spine,instrumental|high|old0|corrected0|disagree1|spine,0,0,0,0,0
instrumental,high,0,0,1,N2,instrumental|high|old0|corrected0|disagree1|N2,0,0,0,0,0
instrumental,high,0,0,1,Stage3,instrumental|high|old0|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,high,0,0,1,Batch3_keep,instrumental|high|old0|corrected0|disagree1|Batch3_keep,0,0,0,0,0
instrumental,high,0,1,0,spine,instrumental|high|old0|corrected1|disagree0|spine,0,0,0,0,0
instrumental,high,0,1,0,N2,instrumental|high|old0|corrected1|disagree0|N2,0,0,0,0,0
instrumental,high,0,1,0,Stage3,instrumental|high|old0|corrected1|disagree0|Stage3,0,0,0,0,0
instrumental,high,0,1,0,Batch3_keep,instrumental|high|old0|corrected1|disagree0|Batch3_keep,0,0,0,0,0
instrumental,high,0,1,1,spine,instrumental|high|old0|corrected1|disagree1|spine,0,0,0,0,0
instrumental,high,0,1,1,N2,instrumental|high|old0|corrected1|disagree1|N2,0,0,0,0,0
instrumental,high,0,1,1,Stage3,instrumental|high|old0|corrected1|disagree1|Stage3,0,0,0,0,0
instrumental,high,0,1,1,Batch3_keep,instrumental|high|old0|corrected1|disagree1|Batch3_keep,0,0,0,0,0
instrumental,high,1,0,0,spine,instrumental|high|old1|corrected0|disagree0|spine,0,0,0,0,0
instrumental,high,1,0,0,N2,instrumental|high|old1|corrected0|disagree0|N2,0,0,0,0,0
instrumental,high,1,0,0,Stage3,instrumental|high|old1|corrected0|disagree0|Stage3,0,0,0,0,0
instrumental,high,1,0,0,Batch3_keep,instrumental|high|old1|corrected0|disagree0|Batch3_keep,0,0,0,0,0
instrumental,high,1,0,1,spine,instrumental|high|old1|corrected0|disagree1|spine,0,0,0,0,0
instrumental,high,1,0,1,N2,instrumental|high|old1|corrected0|disagree1|N2,0,0,0,0,0
instrumental,high,1,0,1,Stage3,instrumental|high|old1|corrected0|disagree1|Stage3,0,0,0,0,0
instrumental,high,1,0,1,Batch3_keep,instrumental|high|old1|corrected0|disagree1|Batch3_keep,0,0,0,0,0
instrumental,high,1,1,0,spine,instrumental|high|old1|corrected1|disagree0|spine,247,5,6,0,18
instrumental,high,1,1,0,N2,instrumental|high|old1|corrected1|disagree0|N2,829,0,0,0,0
instrumental,high,1,1,0,Stage3,instrumental|high|old1|corrected1|disagree0|Stage3,1356,0,0,0,0
instrumental,high,1,1,0,Batch3_keep,instrumental|high|old1|corrected1|disagree0|Batch3_keep,15,0,0,0,0
instrumental,high,1,1,1,spine,instrumental|high|old1|corrected1|disagree1|spine,0,0,0,0,0
instrumental,high,1,1,1,N2,instrumental|high|old1|corrected1|disagree1|N2,0,0,0,0,0
instrumental,high,1,1,1,Stage3,instrumental|high|old1|corrected1|disagree1|Stage3,0,0,0,0,0
instrumental,high,1,1,1,Batch3_keep,instrumental|high|old1|corrected1|disagree1|Batch3_keep,0,0,0,0,0
